No.,Stress,N,Censor
1,79920,1645524,1
2,80000,51114600,0
3,80000,51690816,0
4,80000,61994232,0
5,80000,103230036,0
6,80000,108332316,0
7,80000,108711504,0
8,80000,108726192,0
9,80000,119527452,0
10,86712,28056420,1
11,86975,5427072,1
12,87238,2959128,1
13,87412,26632440,1
14,87500,61632360,0
15,87500,61632864,0
16,97900,692172,1
17,97900,835164,1
18,99100,742680,1
19,99600,2021184,1
20,99800,503244,1
21,99900,2090736,1
22,100000,582228,1
23,100000,631008,1
24,100000,654516,1
25,100000,802512,1
26,121625,275544,1
27,122625,219240,1
28,123125,176364,1
29,123250,207144,1
30,124250,164376,1
31,124250,198252,1
32,124625,223272,1
33,124750,182556,1
34,124875,157824,1
35,124875,214020,1
36,148350,75096,1
37,148350,82980,1
38,149250,79776,1
39,149400,94356,1
40,149700,61524,1
41,149700,86364,1
42,149850,71280,1
43,149850,71532,1
44,149850,76680,1
45,149850,89424,1
46,179282,36504,1
47,180376,29196,1
48,181105,35028,1
49,181835,32688,1
50,182017,28836,1
51,182017,34848,1
52,182017,37944,1
53,182200,39924,1
54,182382,28656,1
55,182382,30168,1
56,197600,16704,1
57,198000,19944,1
58,199200,22968,1
59,199200,27432,1
60,199600,28296,1
61,199800,15948,1
62,199800,16884,1
63,199800,22464,1
64,199800,33552,1
65,200000,15876,1
66,223875,11700,1
67,224325,10836,1
68,224325,12888,1
69,224550,8820,1
70,224550,12564,1
71,224775,8208,1
72,224775,9036,1
73,224775,14544,1
74,225000,11340,1
75,232857.7681,6167.086957,1
